prosjektnummer,prosjekttittel,soknadsfrist,soknadsdato,utlysnings_id,utlysningsaktivitet,utlysningtittel,prosjekttype,soknadstype,soknadstypevariant,sokstart,sokslutt,prosjektfase,prosjektstart,prosjektslutt,prosjektleder_kjonn,prosjektansvarlig_type,prosjektansvarlig_navn,kortnavn,organisasjonsnummer,kp1,kp2,sektor,kategori,kommune,kommunenummer,fylke,fylkenummer,landsdel,virkemiddel_sekvens,virkemiddel,hovedaktivitet_sekvens,hovedaktivitet,aktivitet,aktivitet_kode,fagomraade,fag,fagdisiplin,dr_stip_aarsverk,postdok_aarsverk,sokt_belop,tildelt_belop,prosjektleder
104870,Grunnbevilgning Telemarksforskning -  Notodden - avsluttes,,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2013,MANN,Organisasjon,STIFTELSEN TELEMARKSFORSKING NOTODDEN,TMFORSK,966009012,703,09,Instituttsektor,Regionale samfunnsvitenskapelige institutter,Notodden,4005,Telemark,40,Østlandet ellers,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,3546000.0,10217500.0,Øyvind Lexau
104871,Grunnbevilgning Østfoldforskning (Videreføres i prosjekt 247243),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,MANN,Organisasjon,NORSUS NORSK INSTITUTT FOR BÆREKRAFTSFORSKNING AS,NORSUS,989861751,702,36,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Fredrikstad,3107,Østfold,31,Østlandet ellers,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,19730000.0,40256000.0,Trond Edvardsen
104872,Grunnbevilgning Østlandsforskning (Videreføres i prosjekt 247244),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,MANN,Organisasjon,STIFTELSEN ØSTLANDSFORSKNING,ØSTFORSK,970157107,703,11,Instituttsektor,Regionale samfunnsvitenskapelige institutter,Lillehammer,3405,Innlandet,34,Østlandet ellers,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,14999000.0,40741000.0,Tor Arnesen
104873,Grunnbevilgning IRIS (Videreføres i prosjekt 247245),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2010,Avsluttet,1994,2014,MANN,Organisasjon,INTERNATIONAL RESEARCH INSTITUTE OF STAVANGER AS,IRIS,988944459,706,11,Instituttsektor,Teknisk-industrielle institutter,Stavanger,1103,Rogaland,11,Agder og Rogaland,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,12945000.0,64075000.0,Einar Leknes
104876,Grunnbevilgning NORUT Tromsø (Videreføres i prosjekt 247246),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,MANN,Organisasjon,NORCE NORWEGIAN RESEARCH CENTRE AS AVD SAMFUNNSVITENSK FORSKN TROMSØ,NORCE,973782738,702,40,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Tromsø,5501,Troms - Romsa - Tromssa,55,Nord-Norge,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,10600000.0,35415000.0,Eirik Mikkelsen
104883,Grunnbevilgning Agderforskning (Videreføres i prosjekt 247247),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2010,Avsluttet,1994,2014,KVINNE,Organisasjon,AGDERFORSKNING AS,AGDERFORSK,986377034,703,01,Instituttsektor,Regionale samfunnsvitenskapelige institutter,Kristiansand,4204,Agder,42,Agder og Rogaland,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,14715000.0,50589000.0,Kristin Wallevik
104891,Grunnbevilgning  Norut Alta (Videreføres i prosjekt 247248),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,KVINNE,Organisasjon,NORCE NORWEGIAN RESEARCH CENTRE AS AVD ALTA,NORUT,972119911,702,40,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Alta,5601,Finnmark - Finnmárku - Finmarkku,56,Nord-Norge,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,8540000.0,24366000.0,Målfrid Baik
105034,"SCANCOR - Medlemskap
(Videreført i prosjekt 247198)",,2003-09-30 00:00:00,,,,Institusjonsstøtte,Koordinerings- og støtteaktivitet,Nettverksstøtte,1994,2010,Avsluttet,1994,2014,MANN,Organisasjon,Institutt for sosiologi og samfunnsgeografi,UIO,0,102,10,UoH-sektor,Universiteter,Oslo,0301,Oslo,03,Oslo og Akershus,4,Nettverkstiltak,16,Internasjonale nettverkstiltak,Annet internasjonalt samarbeid,DIV-INT,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,500000.0,3995840.0,Haldor Byrkjeflot
105055,Medlemsavgift i Luxembourg Income Study (LIS) - videreført i prosjekt 245174,,1991-06-05 00:00:00,,,,Institusjonsstøtte,Koordinerings- og støtteaktivitet,Nettverksstøtte,1992,2012,Avsluttet,1992,2014,MANN,Organisasjon,Luxembourg Income Study asbl,,0,800,00,Utlandet,Utland,,,,,,4,Nettverkstiltak,16,Internasjonale nettverkstiltak,Annet internasjonalt samarbeid,DIV-INT,Samfunnsvitenskap,Sosiologi,Sosiologi,0.0,0.0,535000.0,3034916.0,Rune Rambæk Schjølberg
105903,Grunnbevilgning - SNF (Videreføres i prosjekt 247249),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,MANN,Organisasjon,SAMFUNNS- OG NÆRINGSLIVSFORSKNING AS,SNF,984005776,702,23,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,50100000.0,106967000.0,Svenn-Åge Dahl
