Rammeprogram,Traktat kode (H2020),Programområde kode (H2020),Programområde (H2020),Program kode (H2020),Programkortnavn (H2020),Program (H2020),Programnivå 1 kortnavn (H2020),Programnivå 1 kode (H2020),Programnivå 1 (H2020),Prosjektnr,Prosjektkortnavn,Prosjektnavn,Utlysnings-id,Overordnet utlysnings-id,Topic kode,Topic,Søknadstype,Søknadstypenavn,Kontraktstatus,Kontrakt signeringsdato,Kontrakt startdato,Kontrakt sluttdato,Søknadsfrist,Søknadsdato,Varighet måneder,Vurderingspanel,Organisasjonsnummer,Organisasjonsnavn,Kortnavn,Organisasjon rolle,Organisasjon finansiell rolle,Deltakernr,FoU sektorkode,FoU sektor,FoU kategori,Kontraktspart 1,Kontraktspart 2,Adresse kommunenummer,Adresse kommune,Adresse fylkenummer,Adresse fylke,Adresse landsdel,Innvilget beløp organisasjon EUR
H2020,,EU.1.,Excellent Science,EU.1.1.,ERC,European Research Council,,,,759526,SNOWISO,Signals from the Surface Snow: Post-Depositional Processes Controlling the Ice Core Isotopic Fingerprint,ERC-2017-STG,ERC-2017-STG,ERC-2017-STG,ERC Starting Grant,ERC-STG,Starting Grant,SIGNED,07.09.2017 00:00,01.01.2018 00:00,31.12.2022 00:00,18.10.2016 00:00,18.10.2016 00:00,60,,874789542,UNIVERSITETET I BERGEN,UIB,COORDINATOR,BENEFICIARY,1,UoH,UoH-sektor,Universiteter,101,0,4601,Bergen,46,Vestland,Vestlandet,1497259.9999998
H2020,,EU.3.,Societal Challenges,EU.3.6.,SOCIETY,"Europe in a changing world - inclusive, innovative and reflective Societies",,,,101004594,ETAPAS,Ethical Technology Adoption in Public Administration Services,H2020-SC6-TRANSFORMATIONS-2020,H2020-SC6-TRANSFORMATIONS-2018-2019-2020,DT-TRANSFORMATIONS-02-2018-2019-2020,Transformative impact of disruptive technologies in public services,RIA,Research and Innovation action,SIGNED,13.11.2020 00:00,01.11.2020 00:00,31.10.2023 00:00,19.03.2020 00:00,19.03.2020 00:00,36,Public sector innovation,919303808,SINTEF AS,SINTEF,PARTICIPANT,BENEFICIARY,4,INS,Instituttsektor,Teknisk-industrielle institutter,706,22,5001,Trondheim,50,Trøndelag - Trööndelage,Trøndelag,312499.9999998
H2020,,EU.1.,Excellent Science,EU.1.3.,MSCA,Marie Sklodowska-Curie actions,,,,101034240,PERSEUS,DOCTORAL PROGRAMME FOR INTEGRATED RESEARCH ACTIVITIES TO UNLOCK A POTENTIAL OF TOP-LEVEL RESEARCHERS IN DIGITAL TRANSFORMATION FOR SUSTAINABILITY,H2020-MSCA-COFUND-2020,H2020-MSCA-COFUND-2020,MSCA-COFUND-2020,"Co-funding of regional, national and international programmes",MSCA-COFUND-DP,Doctoral programmes,SIGNED,27.04.2021 00:00,01.06.2021 00:00,31.05.2026 00:00,29.09.2020 00:00,25.09.2020 00:00,60,,974767880,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,NTNU,COORDINATOR,BENEFICIARY,1,UoH,UoH-sektor,Universiteter,104,0,5001,Trondheim,50,Trøndelag - Trööndelage,Trøndelag,3254400
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-ICT,EU.2.1.1.,Information and Communication Technologies,737422,SCOTT,Secure COnnected Trustable Things,H2020-ECSEL-2016-2-IA-two-stage,H2020-ECSEL-2016-2-IA-two-stage,ECSEL-2016-2,ECSEL Key Applications and Essential Technologies (IA),ECSEL-IA,ECSEL Innovation Action,SIGNED,18.05.2017 00:00,01.05.2017 00:00,31.10.2020 00:00,20.09.2016 00:00,20.09.2016 00:00,42,Information and Communication Technology (ICT),997058925,OSLOMET - STORBYUNIVERSITETET,OSLOMET,PARTICIPANT,BENEFICIARY,17,UoH,UoH-sektor,Universiteter,109,0,301,Oslo,3,Oslo,Oslo og Viken,164779.99999986
H2020,,EU.3.,Societal Challenges,EU.3.3.,ENERGY,"Secure, clean and efficient energy",,,,957115,ENCHANT,Energy Efficiency through behaviour change transition strategies,H2020-LC-SC3-EE-2020-1,H2020-LC-SC3-2018-2019-2020,LC-SC3-EC-4-2020,Socio-economic research:  non-energy impacts and behavioural insights on energy efficiency interventions,RIA,Research and Innovation action,SIGNED,14.09.2020 00:00,01.10.2020 00:00,31.03.2023 00:00,15.01.2020 00:00,15.01.2020 00:00,30,,986258191,SMART INNOVATION NORWAY AS,ukjent,PARTICIPANT,BENEFICIARY,6,INS,Instituttsektor,Øvrige forskningsinstitutter,707,0,3001,Halden,30,Viken,Oslo og Viken,191250
H2020,,EU.3.,Societal Challenges,EU.3.5.,ENV,"Climate action, environment, resource efficiency and raw materials",,,,958307,HARARE,Hydrogen As the Reducing Agent in the REcovery of metals and minerals from metallurgical waste,H2020-LCCI-2020-EASME-twostage,H2020-LOW-CARBON-CIRCULAR-INDUSTRIES-2020,CE-SC5-07-2020,"Raw materials innovation for the circular economy: sustainable processing, reuse, recycling and recovery schemes",IA,Innovation action,SIGNED,07.05.2021 00:00,01.06.2021 00:00,31.05.2025 00:00,03.09.2020 00:00,03.09.2020 00:00,48,Public sector innovation,919303808,SINTEF AS,SINTEF,COORDINATOR,BENEFICIARY,1,INS,Instituttsektor,Teknisk-industrielle institutter,706,22,5001,Trondheim,50,Trøndelag - Trööndelage,Trøndelag,2030749.99999968
H2020,,EU.5.,Science with and for Society,EU.5.c.,INEGSOC,Integrate society in science and innovation,,,,824671,SUPER_MoRRI,Scientific Understanding and Provision of an Enhanced and Robust Monitoring system for RRI,H2020-SwafS-2018-1,H2020-SwafS-2018-2020,SwafS-21-2018,Advancing the Monitoring of the Evolution and Benefits of Responsible Research and Innovation,RIA,Research and Innovation action,SIGNED,23.11.2018 00:00,01.01.2019 00:00,31.12.2023 00:00,10.04.2018 00:00,10.04.2018 00:00,60,Public sector innovation,874789542,UNIVERSITETET I BERGEN,UIB,PARTICIPANT,BENEFICIARY,2,UoH,UoH-sektor,Universiteter,101,0,4601,Bergen,46,Vestland,Vestlandet,201156.2499996
H2020,,EU.3.,Societal Challenges,EU.3.4.,TPT,"Smart, green and integrated transport",,,,875156,ShipFC,Piloting Multi MW Ammonia Ship Fuel Cells,H2020-JTI-FCH-2019-1,H2020-JTI-FCH-2019-1,FCH-01-2-2019,Scaling up and demonstration of a multi-MW Fuel Cell system for shipping,FCH2-IA,Innovation action,SIGNED,08.12.2019 00:00,01.01.2020 00:00,31.12.2025 00:00,23.04.2019 00:00,23.04.2019 00:00,72,,990888213,EQUINOR ENERGY AS,STATOIL,PARTICIPANT,BENEFICIARY,13,NÆR,Næringsliv,Næringsliv,625,0,1103,Stavanger,11,Rogaland,Vestlandet,0
H2020,,EU.3.,Societal Challenges,EU.3.7.,SECURITY,Secure societies - Protecting freedom and security of Europe and its citizens,,,,101021271,AI-ARC,Artificial Intelligence based Virtual Control Room for the Arctic (AI-ARC),H2020-SU-SEC-2020,H2020-SU-SEC-2018-2019-2020,SU-BES02-2018-2019-2020,Technologies to enhance border and external security,RIA,Research and Innovation action,SIGNED,21.04.2021 00:00,01.09.2021 00:00,29.02.2024 00:00,27.08.2020 00:00,27.08.2020 00:00,30,,971390425,HOVEDREDNINGSSENTRALEN,,PARTICIPANT,BENEFICIARY,10,DIV,Øvrige,Øvrige offentlige,900,16,1804,Bodø,18,Nordland - Nordlánnda,Nord-Norge,81062.4999999
H2020,,EU.3.,Societal Challenges,EU.3.3.,ENERGY,"Secure, clean and efficient energy",,,,764717,WinWind,Winning social acceptance for wind energy in wind energy scarce regions,H2020-LCE-2017-RES-CSA,H2020-LCE-2016-2017,LCE-21-2017,Market uptake of renewable energy technologies,CSA,Coordination and support action,CLOSED,26.07.2017 00:00,01.10.2017 00:00,31.03.2020 00:00,05.01.2017 00:00,05.01.2017 00:00,30,,970205039,NORGES VASSDRAGS- OG ENERGIDIREKTORAT (NVE),NVE,PARTICIPANT,BENEFICIARY,8,INS,Instituttsektor,Øvrige forskningsinstitutter,707,38,301,Oslo,3,Oslo,Oslo og Viken,13999.9999998
H2020,,EU.1.,Excellent Science,EU.1.4.,INFRA,Research infrastructures,,,,871153,JERICO-S3,"Joint European Research Infrastructure of Coastal Observatories: Science, Service, Sustainability - JERICO-S3",H2020-INFRAIA-2019-1,H2020-INFRAIA-2018-2020,INFRAIA-01-2018-2019,Integrating Activities for Advanced Communities,RIA,Research and Innovation action,SIGNED,06.02.2020 00:00,01.02.2020 00:00,31.01.2024 00:00,20.03.2019 00:00,20.03.2019 00:00,48,,971349077,HAVFORSKNINGSINSTITUTTET,HI,PARTICIPANT,BENEFICIARY,20,INS,Instituttsektor,Primærnæringsinstitutter,701,16,4601,Bergen,46,Vestland,Vestlandet,138198.75
H2020,,EU.3.,Societal Challenges,EU.3.2.,FOOD,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",,,,101036588,ENOUGH,European food chain supply to reduce GHG emissions by 2050,H2020-LC-GD-2020-4,H2020-LC-GD-2020,LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,IA,Innovation action,SIGNED,24.09.2021 00:00,01.10.2021 00:00,30.09.2025 00:00,27.01.2021 00:00,27.01.2021 00:00,48,Public sector innovation,974767880,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,NTNU,PARTICIPANT,BENEFICIARY,4,UoH,UoH-sektor,Universiteter,104,0,5001,Trondheim,50,Trøndelag - Trööndelage,Trøndelag,442294.99999968
H2020,,EU.3.,Societal Challenges,EU.3.4.,TPT,"Smart, green and integrated transport",,,,636146,LeanShips,Low Energy And Near to zero emissions Ships,H2020-MG-2014_TwoStages,H2020-MG-2014-2015,MG-4.1-2014,Towards the energy efficient and emission free vessel,IA,Innovation action,CLOSED,14.04.2015 00:00,01.05.2015 00:00,30.04.2019 00:00,28.08.2014 00:00,28.08.2014 00:00,48,Construction and transport networks | Engineering and technology,979750730,KONGSBERG MARITIME AS,ukjent,PARTICIPANT,BENEFICIARY,23,NÆR,Næringsliv,Næringsliv,601,0,3006,Kongsberg,30,Viken,Oslo og Viken,145795.65
H2020,,EU.3.,Societal Challenges,EU.3.4.,TPT,"Smart, green and integrated transport",,,,636146,LeanShips,Low Energy And Near to zero emissions Ships,H2020-MG-2014_TwoStages,H2020-MG-2014-2015,MG-4.1-2014,Towards the energy efficient and emission free vessel,IA,Innovation action,CLOSED,14.04.2015 00:00,01.05.2015 00:00,30.04.2019 00:00,28.08.2014 00:00,28.08.2014 00:00,48,Construction and transport networks | Engineering and technology,979750730,KONGSBERG MARITIME AS,ukjent,PARTICIPANT,BENEFICIARY,40,NÆR,Næringsliv,Næringsliv,601,0,3006,Kongsberg,30,Viken,Oslo og Viken,145795.65
H2020,,EU.1.,Excellent Science,EU.1.3.,MSCA,Marie Sklodowska-Curie actions,,,,860816,MepAnti,Exploiting the methylerythritol phosphate pathway as a source of drug targets for novel anti-infectives,H2020-MSCA-ITN-2019,H2020-MSCA-ITN-2019,MSCA-ITN-2019,Innovative Training Networks,MSCA-ITN-ETN,European Training Networks,SIGNED,12.05.2020 00:00,01.04.2020 00:00,31.03.2024 00:00,15.01.2019 00:00,15.01.2019 00:00,48,Biotechnology,874789542,UNIVERSITETET I BERGEN,UIB,PARTICIPANT,BENEFICIARY,8,UoH,UoH-sektor,Universiteter,101,0,4601,Bergen,46,Vestland,Vestlandet,292342.32
H2020,,EU.3.,Societal Challenges,EU.3.3.,ENERGY,"Secure, clean and efficient energy",,,,818120,WASTE2ROAD,Biofuels from WASTE TO ROAD transport,H2020-LC-SC3-2018-RES-SingleStage,H2020-LC-SC3-2018-2019-2020,LC-SC3-RES-21-2018,Development of next generation biofuels and alternative renewable fuel technologies for road transport,RIA,Research and Innovation action,SIGNED,26.09.2018 00:00,01.10.2018 00:00,30.09.2022 00:00,13.02.2018 00:00,13.02.2018 00:00,48,,958935420,OSLO KOMMUNE,,PARTICIPANT,BENEFICIARY,10,DIV,Øvrige,Øvrige offentlige,900,10,301,Oslo,3,Oslo,Oslo og Viken,165757.5
H2020,,EU.3.,Societal Challenges,EU.3.3.,ENERGY,"Secure, clean and efficient energy",,,,654462,STEMM-CCS,Strategies for Environmental Monitoring of Marine Carbon Capture and Storage,H2020-LCE-2015-1-two-stage,H2020-LCE-2014-2015,LCE-15-2015,Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS,RIA,Research and Innovation action,CLOSED,26.11.2015 00:00,01.03.2016 00:00,29.02.2020 00:00,05.05.2015 00:00,05.05.2015 00:00,48,,970422528,UNIVERSITETET I TROMSØ - NORGES ARKTISKE UNIVERSITET,UIT,PARTICIPANT,BENEFICIARY,9,UoH,UoH-sektor,Universiteter,103,0,5401,Tromsø,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,Nord-Norge,294412.5
H2020,,EU.3.,Societal Challenges,EU.3.5.,ENV,"Climate action, environment, resource efficiency and raw materials",,,,101003527,MULTISOURCE,ModULar Tools for Integrating enhanced natural treatment SOlutions in URban water CyclEs,H2020-SC5-2020-2,H2020-SC5-2018-2019-2020,SC5-27-2020,Strengthening international collaboration: enhanced natural treatment solutions for water security and ecological quality in cities,RIA,Research and Innovation action,SIGNED,07.05.2021 00:00,01.06.2021 00:00,31.05.2025 00:00,03.09.2020 00:00,03.09.2020 00:00,48,Public sector innovation,855869942,NORSK INSTITUTT FOR VANNFORSKNING,NIVA,PARTICIPANT,BENEFICIARY,16,INS,Instituttsektor,Miljøinstitutter,705,7,301,Oslo,3,Oslo,Oslo og Viken,348090
H2020,,EU.1.,Excellent Science,EU.1.3.,MSCA,Marie Sklodowska-Curie actions,,,,722634,PROTECTED,"PROTECTion against Endocrine Disruptors; Detection, mixtures, health effects, risk assessment and communication.",H2020-MSCA-ITN-2016,H2020-MSCA-ITN-2016,MSCA-ITN-2016,Innovative Training Networks,MSCA-ITN-ETN,European Training Networks,SIGNED,31.08.2016 00:00,01.01.2017 00:00,30.06.2021 00:00,12.01.2016 00:00,12.01.2016 00:00,54,,969159570,NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU),NMBU,PARTICIPANT,BENEFICIARY,4,UoH,UoH-sektor,Universiteter,105,0,3021,Ås,30,Viken,Oslo og Viken,572550.47999964
H2020,,EU.3.,Societal Challenges,EU.3.7.,SECURITY,Secure societies - Protecting freedom and security of Europe and its citizens,,,,786748,PROFILE,"Data Analytics, Data Sources, and Architecture for Upgraded European Customs Risk Management ",H2020-SEC-2016-2017-2,H2020-SEC-2016-2017,SEC-17-BES-2017,"Architectures and organizations, big data and data analytics for customs risk management of the international goods supply chain trade movements",RIA,Research and Innovation action,SIGNED,29.05.2018 00:00,01.08.2018 00:00,31.12.2021 00:00,24.08.2017 00:00,24.08.2017 00:00,41,,880455702,TOLLETATEN,ukjent,PARTICIPANT,BENEFICIARY,4,DIV,Øvrige,Øvrige offentlige,900,16,301,Oslo,3,Oslo,Oslo og Viken,207749.99999993
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-ICT,EU.2.1.1.,Information and Communication Technologies,815279,5G-VINNI,5G Verticals INNovation Infrastructure,H2020-ICT-2018-1,H2020-ICT-2018-20,ICT-17-2018,5G End to End Facility,RIA,Research and Innovation action,SIGNED,28.06.2018 00:00,01.07.2018 00:00,31.12.2021 00:00,31.01.2018 00:00,31.01.2018 00:00,42,Construction and transport networks | Engineering and technology,918837000,ERICSSON AS,ukjent,PARTICIPANT,BENEFICIARY,7,NÆR,Næringsliv,Næringsliv,601,0,3024,Bærum,30,Viken,Oslo og Viken,1998749.99999976
H2020,,EU.3.,Societal Challenges,EU.3.6.,SOCIETY,"Europe in a changing world - inclusive, innovative and reflective Societies",,,,870761,PROTECT,THE RIGHT TO INTERNATIONAL PROTECTION: A PENDULUM BETWEEN GLOBALIZATION AND NATIVIZATION?,H2020-SC6-MIGRATION-2019,H2020-SC6-MIGRATION-2018-2019-2020,MIGRATION-07-2019,International protection of refugees in a comparative perspective,RIA,Research and Innovation action,SIGNED,08.11.2019 00:00,01.02.2020 00:00,31.01.2023 00:00,14.03.2019 00:00,14.03.2019 00:00,36,Cultural and creative economy | Public sector innovation,874789542,UNIVERSITETET I BERGEN,UIB,COORDINATOR,BENEFICIARY,1,UoH,UoH-sektor,Universiteter,101,0,4601,Bergen,46,Vestland,Vestlandet,1365843.74999976
H2020,,EU.3.,Societal Challenges,EU.3.7.,SECURITY,Secure societies - Protecting freedom and security of Europe and its citizens,,,,653811,CITYCoP,Citizen Interaction Technologies Yield Community Policing,H2020-FCT-2014,H2020-FCT-2014-2015,FCT-14-2014,Ethical/Societal Dimension Topic 2: Enhancing cooperation between law enforcement agencies and citizens - Community policing,RIA,Research and Innovation action,CLOSED,12.06.2015 00:00,01.06.2015 00:00,31.05.2018 00:00,28.08.2014 00:00,28.08.2014 00:00,36,Security,974767880,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,NTNU,PARTICIPANT,BENEFICIARY,15,UoH,UoH-sektor,Universiteter,104,0,5001,Trondheim,50,Trøndelag - Trööndelage,Trøndelag,317369.99999988
H2020,,EU.1.,Excellent Science,EU.1.4.,INFRA,Research infrastructures,,,,731105,EDIReX,EurOPDX Distributed Infrastructure for Research on patient-derived cancer Xenografts,H2020-INFRAIA-2017-1-two-stage,H2020-INFRAIA-2016-2017,INFRAIA-02-2017,Integrating Activities for Starting Communities,RIA,Research and Innovation action,SIGNED,08.12.2017 00:00,01.02.2018 00:00,31.07.2022 00:00,29.03.2017 00:00,29.03.2017 00:00,54,,993467049,OSLO UNIVERSITETSSYKEHUS HF,OUS,PARTICIPANT,BENEFICIARY,14,HEL,Helseforetak,Helse Sør-Øst RHF,501,10,301,Oslo,3,Oslo,Oslo og Viken,96971.24999952
H2020,,EU.1.,Excellent Science,EU.1.1.,ERC,European Research Council,,,,725025,AgeConsolidate,The Missing Link of Episodic Memory Decline in Aging: The Role of Inefficient Systems Consolidation,ERC-2016-COG,ERC-2016-COG,ERC-2016-COG,ERC Consolidator Grant,ERC-COG,Consolidator Grant,SIGNED,07.04.2017 00:00,01.05.2017 00:00,30.04.2022 00:00,02.02.2016 00:00,02.02.2016 00:00,60,,971035854,UNIVERSITETET I OSLO,UIO,COORDINATOR,BENEFICIARY,1,UoH,UoH-sektor,Universiteter,102,0,301,Oslo,3,Oslo,Oslo og Viken,1999481.7499998
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-ADVMAT,EU.2.1.3.,Advanced materials,646186,ZAS,Zinc Air Secondary innovative nanotech based batteries for efficient energy storage,H2020-NMP-2014-two-stage,H2020-NMP-2014-2015,NMP-13-2014,Storage of energy produced by decentralised sources,RIA,Research and Innovation action,CLOSED,13.05.2015 00:00,01.06.2015 00:00,31.05.2018 00:00,07.10.2014 00:00,07.10.2014 00:00,36,Engineering and technology,995789000,REACTIVE METAL PARTICLES AS,,PARTICIPANT,BENEFICIARY,9,NÆR,Næringsliv,Næringsliv,601,0,301,Oslo,3,Oslo,Oslo og Viken,587316.24999972
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-ICT,EU.2.1.1.,Information and Communication Technologies,671617,EURO 5G,Euro-5G,H2020-ICT-2014-2,H2020-ICT-2014,ICT-14-2014,Advanced 5G Network Infrastructure for the Future Internet,CSA,Coordination and support action,CLOSED,19.05.2015 00:00,01.07.2015 00:00,30.09.2017 00:00,25.11.2014 00:00,25.11.2014 00:00,27,,982463718,TELENOR ASA,ukjent,PARTICIPANT,BENEFICIARY,10,NÆR,Næringsliv,Næringsliv,601,0,3024,Bærum,30,Viken,Oslo og Viken,74343.99999996
H2020,,EU.3.,Societal Challenges,EU.3.2.,FOOD,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",,,,862704,NextGenProteins,BIOCONVERSION OF UNDERUTILIZED RESOURCES INTO NEXT GENERATION PROTEINS FOR FOOD AND FEED,H2020-SFS-2019-1,H2020-SFS-2018-2020,LC-SFS-17-2019,Alternative proteins for food and feed,IA,Innovation action,SIGNED,17.09.2019 00:00,01.10.2019 00:00,30.09.2023 00:00,23.01.2019 00:00,23.01.2019 00:00,48,Food and beverages,911610744,MOWI FEED AS,ukjent,PARTICIPANT,BENEFICIARY,20,NÆR,Næringsliv,Næringsliv,601,0,4601,Bergen,46,Vestland,Vestlandet,156424.62999984
H2020,,EU.3.,Societal Challenges,EU.3.2.,FOOD,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",,,,678589,VIVALDI,Preventing and mitigating farmed bivalve diseases,H2020-SFS-2015-2,H2020-SFS-2014-2015,SFS-10b-2015,Scientific basis and tools for preventing and mitigating farmed mollusc diseases,RIA,Research and Innovation action,CLOSED,09.02.2016 00:00,01.03.2016 00:00,29.02.2020 00:00,11.06.2015 00:00,11.06.2015 00:00,48,,971349077,HAVFORSKNINGSINSTITUTTET,HI,PARTICIPANT,BENEFICIARY,15,INS,Instituttsektor,Primærnæringsinstitutter,701,16,4601,Bergen,46,Vestland,Vestlandet,81249.99999984
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-NMP,EU.2.1.2.,"Nanotechnologies, Advanced Materials and Production",720834,CUPIDO,Cardio Ultraefficient nanoParticles for Inhalation of Drug prOducts,H2020-NMBP-2016-two-stage,H2020-NMBP-2016-2017,NMBP-10-2016,Nanoformulation of biologicals,RIA,Research and Innovation action,CLOSED,22.11.2016 00:00,01.02.2017 00:00,31.01.2021 00:00,24.05.2016 00:00,24.05.2016 00:00,48,,984648855,SIMULA RESEARCH LABORATORY AS,SIMULA,PARTICIPANT,BENEFICIARY,3,INS,Instituttsektor,Øvrige forskningsinstitutter,707,3,301,Oslo,3,Oslo,Oslo og Viken,442338.75
H2020,,EU.3.,Societal Challenges,EU.3.4.,TPT,"Smart, green and integrated transport",,,,875156,ShipFC,Piloting Multi MW Ammonia Ship Fuel Cells,H2020-JTI-FCH-2019-1,H2020-JTI-FCH-2019-1,FCH-01-2-2019,Scaling up and demonstration of a multi-MW Fuel Cell system for shipping,FCH2-IA,Innovation action,SIGNED,08.12.2019 00:00,01.01.2020 00:00,31.12.2025 00:00,23.04.2019 00:00,23.04.2019 00:00,72,,980064689,NORTH SEA SHIPPING AS,ukjent,PARTICIPANT,BENEFICIARY,8,NÆR,Næringsliv,Næringsliv,601,0,4625,Austevoll,46,Vestland,Vestlandet,61249.99999968
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-SPACE,EU.2.1.6.,Space,640276,GAIA-CLIM,Gap Analysis for Integrated Atmospheric ECV CLImate Monitoring,H2020-EO-2014,H2020-EO-2014,EO-3-2014,Observation capacity mapping in the context of Atmospheric and Climate change monitoring,RIA,Research and Innovation action,CLOSED,17.11.2014 00:00,01.03.2015 00:00,28.02.2018 00:00,26.03.2014 00:00,26.03.2014 00:00,36,Space,943432449,STIFTELSEN NANSEN SENTER FOR MILJØ OG FJERNMÅLING,NERSC,COORDINATOR,BENEFICIARY,1,INS,Instituttsektor,Miljøinstitutter,705,1,4601,Bergen,46,Vestland,Vestlandet,319913.64999972
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-ADVMAT,EU.2.1.3.,Advanced materials,814607,SAFE-N-MEDTECH,SAFETY TESTING IN THE LIFE CYCLE OF NANOTECHNOLOGY-ENABLED MEDICAL TECHNOLOGIES FOR HEALTH.,H2020-NMBP-HUBS-2018,H2020-NMBP-TO-IND-2018-2020,DT-NMBP-02-2018,Open Innovation Test Beds for Safety Testing of Medical Technologies for Health (IA),IA,Innovation action,SIGNED,05.03.2019 00:00,01.04.2019 00:00,31.03.2023 00:00,28.06.2018 00:00,28.06.2018 00:00,48,,874761222,STATENS ARBEIDSMILJØINSTITUTT,STAMI,PARTICIPANT,BENEFICIARY,2,INS,Instituttsektor,Øvrige forskningsinstitutter,707,1,301,Oslo,3,Oslo,Oslo og Viken,615000
H2020,,EU.1.,Excellent Science,EU.1.1.,ERC,European Research Council,,,,670462,COMTESSA,Camera Observation and Modelling of 4D Tracer Dispersion in the Atmosphere,ERC-2014-ADG,ERC-2014-ADG,ERC-ADG-2014,ERC Advanced Grant,ERC-ADG,Advanced Grant,SIGNED,21.08.2015 00:00,01.11.2015 00:00,31.10.2021 00:00,21.10.2014 00:00,21.10.2014 00:00,72,,941705561,NILU - STIFTELSEN NORSK INSTITUTT FOR LUFTFORSKNING,NILU,COORDINATOR,BENEFICIARY,1,INS,Instituttsektor,Miljøinstitutter,705,5,3030,Lillestrøm,30,Viken,Oslo og Viken,2726299.99999944
H2020,,EU.1.,Excellent Science,EU.1.3.,MSCA,Marie Sklodowska-Curie actions,,,,734832,CLOVER,"Robust Control, State Estimation and Disturbance Compensation for Highly Dynamic Environmental Mechatronic Systems",H2020-MSCA-RISE-2016,H2020-MSCA-RISE-2016,MSCA-RISE-2016,Research and Innovation Staff Exchange,MSCA-RISE,RISE,SIGNED,10.11.2016 00:00,01.01.2017 00:00,30.06.2022 00:00,28.04.2016 00:00,28.04.2016 00:00,66,Construction and transport networks | Engineering and technology,997388232,RED ROCK MARINE AS,ukjent,PARTICIPANT,BENEFICIARY,3,NÆR,Næringsliv,Næringsliv,601,0,4204,Kristiansand,42,Agder,Agder og Sør-Østlandet,26999.99999994
H2020,,EU.3.,Societal Challenges,EU.3.5.,ENV,"Climate action, environment, resource efficiency and raw materials",,,,690462,ERA4CS,European Research Area for Climate Services,H2020-SC5-2015-one-stage,H2020-SC5-2014-2015,SC5-02-2015,ERA for Climate Services,ERA-NET-Cofund,ERA-NET Cofund,SIGNED,11.12.2015 00:00,01.01.2016 00:00,31.12.2021 00:00,21.04.2015 00:00,21.04.2015 00:00,72,Earth and related environmental sciences | Information and Communication Technology (ICT) | Space,970141669,NORGES FORSKNINGSRÅD,NFR,PARTICIPANT,BENEFICIARY,9,NFR,Norges forskningsråd,Norges forskningsråd,951,0,3024,Bærum,30,Viken,Oslo og Viken,1233757.46999952
H2020,,EU.2.,Industrial Leadership,EU.2.1.,LEIT,Leadership in enabling and industrial technologies (LEIT),LEIT-ADVMANU,EU.2.1.5.,Advanced manufacturing and processing,869918,syn.ikia,Sustainable Plus Energy Neighbourhoods,H2020-NMBP-EEB-2019,H2020-NMBP-ST-IND-2018-2020,LC-EEB-03-2019,New developments in plus energy houses (IA),IA,Innovation action,SIGNED,22.08.2019 00:00,01.01.2020 00:00,30.06.2024 00:00,21.02.2019 00:00,21.02.2019 00:00,54,,937052766,OBOS BBL,ukjent,PARTICIPANT,BENEFICIARY,7,NÆR,Næringsliv,Næringsliv,601,0,301,Oslo,3,Oslo,Oslo og Viken,269062.49999952
H2020,,EU.3.,Societal Challenges,EU.3.7.,SECURITY,Secure societies - Protecting freedom and security of Europe and its citizens,,,,833496,BuildERS,Building European Communities' Resilience and Social Capital,H2020-SU-SEC-2018,H2020-SU-SEC-2018-2019-2020,SU-DRS01-2018-2019-2020,"Human factors, and social, societal, and organisational aspects for disaster-resilient societies",RIA,Research and Innovation action,SIGNED,26.04.2019 00:00,01.05.2019 00:00,30.04.2022 00:00,28.08.2018 00:00,28.08.2018 00:00,36,Security,971564679,UNIVERSITETET I STAVANGER,UIS,PARTICIPANT,BENEFICIARY,3,UoH,UoH-sektor,Universiteter,106,0,1103,Stavanger,11,Rogaland,Vestlandet,404762.49999972
