Rammeprogram;Traktat kode (H2020);Programområde kode (H2020);Programområde (H2020);Program kode (H2020);Programkortnavn (H2020);Program (H2020);Programnivå 1 kortnavn (H2020);Programnivå 1 kode (H2020);Programnivå 1 (H2020);Prosjektnr;Prosjektkortnavn;Prosjektnavn;Utlysnings-id;Overordnet utlysnings-id;Topic kode;Topic;Søknadstype;Søknadstypenavn;Kontraktstatus;Kontrakt signeringsdato;Kontrakt startdato;Kontrakt sluttdato;Søknadsfrist;Søknadsdato;Varighet måneder;Vurderingspanel;Organisasjonsnummer;Organisasjonsnavn;Kortnavn;Organisasjon rolle;Organisasjon finansiell rolle;Deltakernr;FoU sektorkode;FoU sektor;FoU kategori;Kontraktspart 1;Kontraktspart 2;Adresse kommunenummer;Adresse kommune;Adresse fylkenummer;Adresse fylke;Adresse landsdel;Innvilget beløp organisasjon EUR
H2020;;EU.3.;Societal Challenges;EU.3.4.;TPT;Smart, green and integrated transport;;;;689074;HOLISHIP;HOLIstic optimisation of SHIP design and operation for life cycle;H2020-MG-2015_TwoStages;H2020-MG-2014-2015;MG-4.3-2015;System modelling and life-cycle cost optimisation for waterborne assets;RIA;Research and Innovation action;SIGNED;10.06.2016 00:00;01.09.2016 00:00;31.12.2020 00:00;15.10.2015 00:00;14.10.2015 00:00;52;Information and Communication Technology (ICT);979750730;KONGSBERG MARITIME AS;ukjent;PARTICIPANT;BENEFICIARY;28;NÆR;Næringsliv;Næringsliv;601;0;3006;Kongsberg;30;Viken;Oslo og Viken;864799.99999952
H2020;;EU.3.;Societal Challenges;EU.3.3.;ENERGY;Secure, clean and efficient energy;;;;779486;GAMER;Game changer in high temperature steam electrolysers with novel tubular cells and stacks geometry for pressurized hydrogen production;H2020-JTI-FCH-2017-1;H2020-JTI-FCH-2017-1;FCH-02-2-2017;Game changer High Temperature Steam Electrolysers;FCH2-RIA;Research and Innovation action;SIGNED;12.12.2017 00:00;01.01.2018 00:00;31.12.2021 00:00;20.04.2017 00:00;20.04.2017 00:00;48;;971035854;UNIVERSITETET I OSLO;UIO;PARTICIPANT;BENEFICIARY;5;UoH;UoH-sektor;Universiteter;102;0;301;Oslo;3;Oslo;Oslo og Viken;299756.25
H2020;;EU.2.;Industrial Leadership;EU.2.1.;LEIT;Leadership in enabling and industrial technologies (LEIT);LEIT-ICT;EU.2.1.1.;Information and Communication Technologies;680448;CAxMan;Computer Aided Technologies for Additive Manufacturing;H2020-FoF-2015;H2020-FoF-2014-2015;FoF-08-2015;ICT-enabled modelling, simulation, analytics and forecasting technologies;RIA;Research and Innovation action;CLOSED;03.08.2015 00:00;01.09.2015 00:00;31.08.2018 00:00;04.02.2015 00:00;04.02.2015 00:00;36;;948979357;JOTNE EPM TECHNOLOGY AS;;PARTICIPANT;BENEFICIARY;9;NÆR;Næringsliv;Næringsliv;601;0;301;Oslo;3;Oslo;Oslo og Viken;545352.99999984
H2020;;EU.3.;Societal Challenges;EU.3.5.;ENV;Climate action, environment, resource efficiency and raw materials;;;;730292;PlastiCircle;Improvement of the plastic packaging waste chain from a circular economy approach;H2020-CIRC-2016TwoStage;H2020-IND-CE-2016-17;CIRC-01-2016-2017;Systemic, eco-innovative approaches for the circular economy: large-scale demonstration projects;IA;Innovation action;SIGNED;05.05.2017 00:00;01.06.2017 00:00;31.05.2021 00:00;06.09.2016 00:00;06.09.2016 00:00;48;Public sector innovation;919303808;SINTEF AS;SINTEF;PARTICIPANT;BENEFICIARY;22;INS;Instituttsektor;Teknisk-industrielle institutter;706;22;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;1577938.68999984
H2020;;EU.1.;Excellent Science;EU.1.4.;INFRA;Research infrastructures;;;;871153;JERICO-S3;Joint European Research Infrastructure of Coastal Observatories: Science, Service, Sustainability - JERICO-S3;H2020-INFRAIA-2019-1;H2020-INFRAIA-2018-2020;INFRAIA-01-2018-2019;Integrating Activities for Advanced Communities;RIA;Research and Innovation action;SIGNED;06.02.2020 00:00;01.02.2020 00:00;31.01.2024 00:00;20.03.2019 00:00;20.03.2019 00:00;48;;919408049;NORCE NORWEGIAN RESEARCH CENTRE AS;NORCE;PARTICIPANT;BENEFICIARY;26;INS;Instituttsektor;Teknisk-industrielle institutter;706;23;4601;Bergen;46;Vestland;Vestlandet;220234.99999968
H2020;;EU.3.;Societal Challenges;EU.3.3.;ENERGY;Secure, clean and efficient energy;;;;851703;MooringSense;MOORING SYSTEM INTEGRITY MANAGEMENT THROUGH MONITORING, DIGITAL TWIN AND CONTROL TECHNOLOGIES FOR COST REDUCTION AND INCREASED EFFICIENCY;H2020-LC-SC3-2019-RES-TwoStages;H2020-LC-SC3-2018-2019-2020;LC-SC3-RES-14-2019;Optimising manufacturing and system operation;RIA;Research and Innovation action;SIGNED;21.10.2019 00:00;01.11.2019 00:00;31.10.2022 00:00;25.04.2019 00:00;25.04.2019 00:00;36;;937357370;SINTEF OCEAN AS;SINTEF;PARTICIPANT;BENEFICIARY;7;INS;Instituttsektor;Teknisk-industrielle institutter;706;18;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;642749.99999976
H2020;;EU.1.;Excellent Science;EU.1.3.;MSCA;Marie Sklodowska-Curie actions;;;;836355;MitoQuant;Development of Deep-UV Quantitative Microscopy for the Study of Mitochondrial Dysfunction;H2020-MSCA-IF-2018;H2020-MSCA-IF-2018;MSCA-IF-2018;Individual Fellowships;MSCA-IF-EF-ST;Standard European Fellowships;SIGNED;29.04.2019 00:00;01.07.2019 00:00;30.06.2021 00:00;12.09.2018 00:00;11.09.2018 00:00;24;Information and Communication Technology (ICT);970422528;UNIVERSITETET I TROMSØ - NORGES ARKTISKE UNIVERSITET;UIT;COORDINATOR;BENEFICIARY;1;UoH;UoH-sektor;Universiteter;103;0;5401;Tromsø;54;Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku;Nord-Norge;202158.72
H2020;;EU.2.;Industrial Leadership;EU.2.1.;LEIT;Leadership in enabling and industrial technologies (LEIT);LEIT-SPACE;EU.2.1.6.;Space;775998;H2H;EGNSS Hull-to-Hull;H2020-GALILEO-GSA-2017-1;H2020-GALILEO-GSA-2017;GALILEO-1-2017;EGNSS Transport applications;IA;Innovation action;SIGNED;30.10.2017 00:00;01.11.2017 00:00;31.05.2021 00:00;01.03.2017 00:00;01.03.2017 00:00;43;Space;919303808;SINTEF AS;SINTEF;PARTICIPANT;BENEFICIARY;6;INS;Instituttsektor;Teknisk-industrielle institutter;706;22;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;317249.99999982
H2020;;EU.3.;Societal Challenges;EU.3.2.;FOOD;Food security, sustainable agriculture and forestry, marine and maritime and inland water research;;;;818173;AquaVitae;New species, processes and products contributing to increased production and improved sustainability in emerging low trophic, and existing low and high trophic aquaculture value chains in the Atlantic;H2020-BG-2018-2;H2020-BG-2018-2020;BG-08-2018-2019;All Atlantic Ocean Research Alliance Flagship;RIA;Research and Innovation action;SIGNED;10.05.2019 00:00;01.06.2019 00:00;30.11.2023 00:00;11.09.2018 00:00;11.09.2018 00:00;54;Earth and related environmental sciences;919408049;NORCE NORWEGIAN RESEARCH CENTRE AS;NORCE;PARTICIPANT;BENEFICIARY;17;INS;Instituttsektor;Teknisk-industrielle institutter;706;23;4601;Bergen;46;Vestland;Vestlandet;227099.9999997
H2020;;EU.1.;Excellent Science;EU.1.3.;MSCA;Marie Sklodowska-Curie actions;;;;749910;MONSTAA;Metabolism of Novel Strains of Arctic Algae;H2020-MSCA-IF-2016;H2020-MSCA-IF-2016;MSCA-IF-2016;Individual Fellowships;MSCA-IF-GF;Global Fellowships;CLOSED;13.03.2017 00:00;01.09.2017 00:00;30.04.2020 00:00;14.09.2016 00:00;13.09.2016 00:00;32;Information and Communication Technology (ICT);970940243;NORD UNIVERSITET;NORD;COORDINATOR;BENEFICIARY;1;UoH;UoH-sektor;Universiteter;108;0;1804;Bodø;18;Nordland - Nordlánnda;Nord-Norge;231642.2
